id,warId,year,yearAU,relativeYear,label,locationLabel,latitude,longitude,stoaId,currentCountry,outcome,civil,naval,siege,sack,final,period,,Missing
209,,298,1051,330,Battle of Vindonissa,Vindonissa,47.478494,8.220204,177661,,W,,,,,,E,,
210,,312,1065,344,Battle of Milvian Bridge,Milvian Bridge,,,-,,C,,,,,,E,,
211,,312,1065,344,Battle of Turin,Turin,,,,,C,,,,,,E,,
212,,312,1065,344,Battle of Verona,Verona,45.438954,10.994371,383816,,C,,,,,,E,,
213,,313,1066,345,Battle of Tzirallum,Tzirallum,,,-,,C,,,,,,E,,
214,,314,1067,346,Battle of Cibalae,Cibalae,45.291016,18.801056,197207,,C,,,,,,E,,
215,,316,1069,348,Battle of Mardia,Mardia,,,-,,C,,,,,,E,,
216,,324,1077,356,Battle of Adrianople,Adrianople,41.676459,26.562891,501428,,C,,,,,,E,,
217,,324,1077,356,Battle of Chrysopolis,Chrysopolis,41.020639,29.012856,520995,,C,,,,,,E,,
218,,324,1077,356,Battle of the Hellespont,Hellespont,40.2,26.4,501434,,C,,,,,,E,,
219,,344,1097,376,Battle of Singara,Singara,36.3224685,41.861983,874699,,,,,,,,E,,
220,,351,1104,383,Battle of Mursa Major,Mursa Major,45.560018,18.675749,197389,,C,y,,,,,E,,
221,,353,1106,385,Battle of Mons Seleucus,Mons Seleucus,,,-,,C,y,,,,,E,,
222,,356,1109,388,Battle of Reims,Reims,49.2539525,4.0332025,108945,,L,,,,,,E,,
223,,357,1110,389,Battle of Strasbourg,Strasbourg,,,-,,W,,,,,,E,,
224,,359,1112,391,Siege of Amida,Amida,37.9122455,40.2334445,874298,,L,,,y,,,E,,
225,,363,1116,395,Battle of Ctesiphon,Ctesiphon,33.094703,44.58122267,893976,,W,,,,,,E,,
226,,366,1119,398,Battle of Thyatira,Thyatira,38.910724,27.844879,550924,,C,y,,,,,E,,
227,,368,1121,400,Battle of Solicinium,Solicinium,,,123120,,W,,,,,,E,,
228,,377,1130,409,Battle of the Willows,Willows,,,,,,,,,,,E,,
229,,378,1131,410,Battle of Adrianople,Adrianople,41.676459,26.562891,501428,,L,,,,,,E,,
230,,378,1131,410,Battle of Argentovaria,Argentovaria,48.0512685,7.545778,108755,,W,,,,,,E,,
231,,380,1133,412,Battle of Thessalonica,Thessalonica,40.628342,22.952885,491741,,L,,,,,,E,,
232,,388,1141,420,Battle of the Save,Save,,,-,,C,y,,,,,E,,
233,,394,1147,426,Battle of the Frigidus,Frigidus,45.5,13.5,197279,,C,y,,,,,E,,
234,,402,1155,434,Battle of Pollentia,Pollentia,44.686768,7.895976,383745,,W,,,,,,E,,
